ポケモン川柳,登場ポケモン,出典,登場作品,チェック
ミノムッチ バトルのあとは はやきがえ,ミノムッチ,オーキド博士のポケモン大百科,DP042,
ミノマダム みっつのドレスで かわるわよ,ミノマダム,オーキド博士のポケモン大百科,DP043,
ガーメイル おてがみかいたよ eメール,ガーメイル,オーキド博士のポケモン大百科,DP044,
チェリンボが おひさまあびて あかくなり,チェリンボ,オーキド博士のポケモン大百科,DP045,
あまいみつ みつけてとぶよ ミツハニー,ミツハニー,オーキド博士のポケモン大百科,DP046,
ビークイン じょおうさまと およびなさい,ビークイン,オーキド博士のポケモン大百科,DP047,
ドダイトス こうらはみどりの どだいです,ドダイトス,オーキド博士のポケモン大百科,DP048,
まるいいし ピンプクよいこだ ねんねしな,ピンプク,オーキド博士のポケモン大百科,DP049,
ブイゼルが ブイブイいわせる みずのなか,ブイゼル,オーキド博士のポケモン大百科,DP050,
ドータクン エスパーわざで さあドーダ,ドータクン,オーキド博士のポケモン大百科,DP051,True
スカンプー すかんあいてに においプー,スカンプー,オーキド博士のポケモン大百科,DP052,
ガブリアス ガブリとくるぞ かみくだく,ガブリアス,オーキド博士のポケモン大百科,DP053,
ながいつめ ニューっとひっかく マニューラよ,マニューラ,オーキド博士のポケモン大百科,DP054,
カラナクシ にしとひがしで いろちがい,カラナクシ,オーキド博士のポケモン大百科,DP055,
ムウマージ じゅもんとなえて やみにきえ,ムウマージ,オーキド博士のポケモン大百科,DP056,
みえるかな すなにかくれた ヒポポタス,ヒポポタス,オーキド博士のポケモン大百科,DP057,
うけとめろ かおでぼうぎょだ タテトプス,タテトプス,オーキド博士のポケモン大百科,DP058,True
コロトック たえなるしらべ コロコロと,コロトック,オーキド博士のポケモン大百科,DP059,
ミカルゲよ じっとがまんの ごひゃくねん,ミカルゲ,オーキド博士のポケモン大百科,DP060,
たいぼくを かじれビーダル はがいのち,ビーダル,オーキド博士のポケモン大百科,DP061,
ダイノーズ しんかするなら テンガンざん,ダイノーズ,オーキド博士のポケモン大百科,DP062,
うせものを みつけてにっこり レントラー,レントラー,オーキド博士のポケモン大百科,DP063,
ペラペラと ラップでおしゃべり ペラップよ,ペラップ,オーキド博士のポケモン大百科,DP064,
あさひるばん たべるかねるか ゴンベかな,ゴンベ,オーキド博士のポケモン大百科,DP065,
エテボース しっぽでリング ともだちだ,エテボース,オーキド博士のポケモン大百科,DP066,
ヒコザルは やればできるこ がんばるこ,ヒコザル,オーキド博士のポケモン大百科,DP067,
グライガー サトシにげきとつ しあわせよ,グライガー,オーキド博士のポケモン大百科,DP068,
よりつよく めざせさいきょう ブイゼルよ,ブイゼル,オーキド博士のポケモン大百科,DP069,
ピンプクの おなかのいしは タケシのおてせい,ピンプク,オーキド博士のポケモン大百科,DP070,
ポケモンと いっしょにしれんじゃ レンジャーよ,,オーキド博士のポケモン大百科,DP071,
さあミッション たのむぞポケモン キャプチャ・オン,,オーキド博士のポケモン大百科,DP072,
エテボース ヒカリとおどれ コンテスト,エテボース,オーキド博士のポケモン大百科,DP073,
エレブーが シンジとしんじる ゆうしょうを,エレブー,オーキド博士のポケモン大百科,DP074,
シンジとは ふるいつきあい ドダイトス,ドダイトス,オーキド博士のポケモン大百科,DP085,
バトルなら パワーでしょうぶ リングマよ,リングマ,オーキド博士のポケモン大百科,DP086,
ニャルマー ノゾミとのぞむ ゆうしょうを,ニャルマー,オーキド博士のポケモン大百科,DP087,
かぜまかせ グラグラとぶよ グライオン,グライオン,オーキド博士のポケモン大百科,DP088,
みをまもれ すなでかばって カバルドン,カバルドン,オーキド博士のポケモン大百科,DP089,
もうどくが どくどくでるよ ドクロッグ,ドクロッグ,オーキド博士のポケモン大百科,DP090,
ムクホーク にらみきかせて そらをとぶ,ムクホーク,オーキド博士のポケモン大百科,DP091,
のどじまん はずんでうたう リーシャンよ,リーシャン,オーキド博士のポケモン大百科,DP092,
もんもんと はもんでなやむ リオルかな,リオル,オーキド博士のポケモン大百科,DP093,
ゆきのなか にわかけまわれ グレイシア,グレイシア,オーキド博士のポケモン大百科,DP094,
ムックルが ムクッとめざめる よあけまえ,ムックル,オーキド博士のポケモン大百科,DP095,
メガヤンマ とべばとぶほど かそくする,メガヤンマ,オーキド博士のポケモン大百科,DP096,
フローゼル バトルすいすい かちすすめ,フローゼル,オーキド博士のポケモン大百科,DP097,
パートナー みず・くさ・ほのお まよっちゃう,,オーキド博士のポケモンライブキャスター,BW001*,
あっポケモン モンスターボール わすれずに,,オーキド博士のポケモンライブキャスター,BW002,
こまったら けんさくいっぱつ ポケモンずかん,,オーキド博士のポケモンライブキャスター,BW003,
うでじまん バトルクラブで あつくなれ,,オーキド博士のポケモンライブキャスター,BW004,
すくすくと のびよツタージャ つるのむち,ツタージャ,オーキド博士のポケモンライブキャスター,BW005,
ミジュマルの わざがきまって にじゅうまる,ミジュマル,オーキド博士のポケモンライブキャスター,BW006,
はなからブッ ほのおがブッブッ ポカブがブッ,ポカブ,オーキド博士のポケモンライブキャスター,BW007,
ジョーイさん ポケモンセンター やすみなし,,オーキド博士のポケモンライブキャスター,BW008,
さあジムせん かちとれバッジを ポケモンと,,オーキド博士のポケモンライブキャスター,BW009,
トレーナー めとめがあったら ポケモンバトル,,オーキド博士のポケモンライブキャスター,BW010,
マメパトが マメにそらとぶ パトロール,マメパト,オーキド博士のポケモンライブキャスター,BW011,
めはなだし メグロコひそむ すなのなか,メグロコ,オーキド博士のポケモンライブキャスター,BW012,
つかれたら はっぱいちまい ヤナップの,ヤナップ,オーキド博士のポケモンライブキャスター,BW013,
バトルだぜ キバゴがキバって キバをとぐ,キバゴ,オーキド博士のポケモンライブキャスター,BW014,
ひをはいて もうかりまっか ダルマッカ,ダルマッカ,オーキド博士のポケモンライブキャスター,BW015,
どくのトゲ さわるといたいぞ ペンドラー,ペンドラー,オーキド博士のポケモンライブキャスター,BW016,
なみまかせ ぷるぷるうかぶ プルリルよ,プルリル,オーキド博士のポケモンライブキャスター,BW017,
ジャノビーの じゃんじゃんのびる つるのムチ,ジャノビー,オーキド博士のポケモンライブキャスター,BW018,
イシズマイ まんぞくするまで いしさがし,イシズマイ,オーキド博士のポケモンライブキャスター,BW019,
ヤブクロン においでわかる なかのよさ,ヤブクロン,オーキド博士のポケモンライブキャスター,BW020,
チラーミィ チラチラみるよ きみのかお,チラーミィ,オーキド博士のポケモンライブキャスター,BW021,
ていないに デスマスしゃべるよ ですますと,デスマス,オーキド博士のポケモンライブキャスター,BW022,True
ハーデリア まかせてあんしん うちのるす,ハーデリア,オーキド博士のポケモンライブキャスター,BW023,
てきはっけん しっぽをたてろ ミネズミよ,ミネズミ,オーキド博士のポケモンライブキャスター,BW024,
クルミルが センスをきそう ふくづくり,クルミル,オーキド博士のポケモンライブキャスター,BW025,
コアルヒー もぐっておよいで いつとぶの,コアルヒー,オーキド博士のポケモンライブキャスター,BW026,
ゴチルゼル ごはんよちして ゴチになる,ゴチルゼル,オーキド博士のポケモンライブキャスター,BW027,
あっフシデ さわるなキケン どくのトゲ,フシデ,オーキド博士のポケモンライブキャスター,BW028,
コロモリが かべにぴったり はなのあな,コロモリ,オーキド博士のポケモンライブキャスター,BW029,
ルールいはん ワルビルわびる わるびれず,ワルビル,オーキド博士のポケモンライブキャスター,BW030,
ハハコモリ ポケモンまもる ははのあい,ハハコモリ,オーキド博士のポケモンライブキャスター,BW031,
どくのトゲ ホイホイだすよ ホイーガよ,ホイーガ,オーキド博士のポケモンライブキャスター,BW032,
バスラオが あかぐみあおぐみ おおげんか,バスラオ,オーキド博士のポケモンライブキャスター,BW033,
エモンガが そらとぶすがた ええもんだ,エモンガ,オーキド博士のポケモンライブキャスター,BW034,
もしもしと さそうヒトモシ ひをともし,ヒトモシ,オーキド博士のポケモンライブキャスター,BW035,
クリムガン ガンガンすすむよ あなのなか,クリムガン,オーキド博士のポケモンライブキャスター,BW036,
ズルッグが にらみきかせる きょうもまた,ズルッグ,オーキド博士のポケモンライブキャスター,BW037,
たてがみが ひかってりりしい シママかな,シママ,オーキド博士のポケモンライブキャスター,BW038,
イケメンの モンメンとんでく かぜにのり,モンメン,オーキド博士のポケモンライブキャスター,BW039,True
リグレーが テレビでみせる ゆめのなか,リグレー,オーキド博士のポケモンライブキャスター,BW040,
なめるなよ アイスじゃないよ バニプッチ,バニプッチ,オーキド博士のポケモンライブキャスター,BW041,
ネバるした のばすガマガル ねばりごし,ガマガル,オーキド博士のポケモンライブキャスター,BW042,
ドッコラー かくざいはこぶよ どっこいしょ,ドッコラー,オーキド博士のポケモンライブキャスター,BW043,
つんつんと こおりでつつくよ ツンベアー,ツンベアー,オーキド博士のポケモンライブキャスター,BW044,
ダンゴロが だんだんゴロゴロ あなのなか,ダンゴロ,オーキド博士のポケモンライブキャスター,BW045,
めじからで にらみきかせる ゴチムかな,ゴチム,オーキド博士のポケモンライブキャスター,BW046,True
ランランと ユニランはずむよ うれしくて,ユニラン,オーキド博士のポケモンライブキャスター,BW047,
じごくみみ タブンネきくよ きみのこえ,タブンネ,オーキド博士のポケモンライブキャスター,BW048,
アーケンが けんけんなくよ きのうえで,アーケン,オーキド博士のポケモンライブキャスター,BW049,
ゾロリンパ ゾロアがばけるよ いろいろと,ゾロア,オーキド博士のポケモンライブキャスター,BW050,
SOS ピンチのときは ムーランド,ムーランド,オーキド博士のポケモンライブキャスター,BW051,
おこったら ひかってしらせる ゼブライカ,ゼブライカ,オーキド博士のポケモンライブキャスター,BW052,
バルジーナ ホネをとりかえ おしゃれする,バルジーナ,オーキド博士のポケモンライブキャスター,BW053,
ズルズキン ズキンといちげき ずつきかな,ズルズキン,オーキド博士のポケモンライブキャスター,BW054,
たわむれに チョロネコちょろりと ちょろまかす,チョロネコ,オーキド博士のポケモンライブキャスター,BW055,
ちからこぶ おれのがいちばん ドテッコツ,ドテッコツ,オーキド博士のポケモンライブキャスター,BW056,
なまったな コマタナやいば こまったな,コマタナ,オーキド博士のポケモンライブキャスター,BW057,
メラメラと まっかにもえる メラルバよ,メラルバ,オーキド博士のポケモンライブキャスター,BW058,
きたえぬけ ダゲキいちげき かわらわり,ダゲキ,オーキド博士のポケモンライブキャスター,BW059,
ふんじゃった わらうマッギョが でんげきは,マッギョ,オーキド博士のポケモンライブキャスター,BW060,
できるかな ねんどでつくる ゴビットよ,ゴビット,オーキド博士のポケモンライブキャスター,BW061,
オーベムが ゆびさきぴかぴか おしゃべりだ,オーベム,オーキド博士のポケモンライブキャスター,BW062,
ダブランは のうがふたつで おとくだのう,ダブラン,オーキド博士のポケモンライブキャスター,BW063,
わざをだせ きめろクマシュン はなすすり,クマシュン,オーキド博士のポケモンライブキャスター,BW064,
みえるかな コジョフーくりだす ひっさつけん,コジョフー,オーキド博士のポケモンライブキャスター,BW065,
チョボマキが ちょぼちょぼとぶよ あめあがり,チョボマキ,オーキド博士のポケモンライブキャスター,BW066,
かくれても ひかりもれるよ シビシラス,シビシラス,オーキド博士のポケモンライブキャスター,BW067,
シビルドン あついキッスで しびれびれ,シビルドン,オーキド博士のポケモンライブキャスター,BW068,
あおいひが ゆらゆらさそう シャンデラよ,シャンデラ,オーキド博士のポケモンライブキャスター,BW069,
あいさつも ずつきいっぱつ バッフロン,バッフロン,オーキド博士のポケモンライブキャスター,BW070,
やれおどれ うでをふりふり マラカッチ,マラカッチ,オーキド博士のポケモンライブキャスター,BW071,True
バオップと きのみたべよう やいてから,バオップ,オーキド博士のポケモンライブキャスター,BW072,True
いろがわり きせつをつげる シキジカよ,シキジカ,オーキド博士のポケモンライブキャスター,BW073,
あいさつの かわりにかみつく モノズかな,モノズ,オーキド博士のポケモンライブキャスター,BW074,
アギルダー ぬいだらすごいぞ すばやいぞ,アギルダー,オーキド博士のポケモンライブキャスター,BW075,
さむいほどげんきひゃくばいバニリッチ,バニリッチ,オーキド博士のポケモンライブキャスター,BW076,
ほしあかり ゴチミルなにみる ほしをみる,ゴチミル,オーキド博士のポケモンライブキャスター,BW077,
ほうさくだ みのりのあきに ランドロス,ランドロス,オーキド博士のポケモンライブキャスター,BW078,
ちゅるちゅると でんきをすする バチュルかな,バチュル,オーキド博士のポケモンライブキャスター,BW079,
イワパレス とかしてきって いえづくり,イワパレス,オーキド博士のポケモンライブキャスター,BW080,
くるくると まわってくらす ギアルかな,ギアル,オーキド博士のポケモンライブキャスター,BW081,
はりがとぶ ひゃっぱつひゃくちゅう デンチュラよ,デンチュラ,オーキド博士のポケモンライブキャスター,BW082,
シンボラー きょうもみまわり いじょうなし,シンボラー,オーキド博士のポケモンライブキャスター,BW083,
おうごんを たべてかがやく デスカーン,デスカーン,オーキド博士のポケモンライブキャスター,BW084,
スワンナと よあけのダンス おどろうよ,スワンナ,オーキド博士のポケモンライブキャスター,BW085,
ケンホロウ けんもほろろで なつかない,ケンホロウ,オーキド博士のポケモンライブキャスター,BW086,
ガマゲロゲ ぷるぷるふるえて ちからだす,ガマゲロゲ,オーキド博士のポケモンライブキャスター,BW087,
トルネード かぜがくるくる トルネロス,トルネロス,オーキド博士のポケモンライブキャスター,BW088,
ボルトロス かみなりはっしゃ なんボルト？,ボルトロス,オーキド博士のポケモンライブキャスター,BW089,
ローブシン はしらもちあげ ちからこぶ,ローブシン,オーキド博士のポケモンライブキャスター,BW090,
キリキザン きりきりきざむ ばんごはん,キリキザン,オーキド博士のポケモンライブキャスター,BW091,
ヒヤッキー しっぽでじょうろ はなのせわ,ヒヤッキー,オーキド博士のポケモンライブキャスター,BW092,
アイアント エサをあつめて かえらんと,アイアント,オーキド博士のポケモンライブキャスター,BW093,
おおぞらに まうアーケオス カラフルに,アーケオス,オーキド博士のポケモンライブキャスター,BW094,
だいはっけん ふたのかせきで プロトーガ,プロトーガ,オーキド博士のポケモンライブキャスター,BW095,
わだつみに ほえてあらぶる アバゴーラ,アバゴーラ,オーキド博士のポケモンライブキャスター,BW096,
ほりすすめ グリュっともぐって モグリューよ,モグリュー,オーキド博士のポケモンライブキャスター,BW097,
クイタラン まだまだたべるよ くいたらぬ,クイタラン,オーキド博士のポケモンライブキャスター,BW098,
タマゲタケ ドクにびっくり たまげたね,タマゲタケ,オーキド博士のポケモンライブキャスター,BW099,
テッシード とげをとばして まるはだか,テッシード,オーキド博士のポケモンライブキャスター,BW100,
ダストダス ゴミをまとって おしゃれする,ダストダス,オーキド博士のポケモンライブキャスター,BW101,
ワルビアル にらみきかせて けんかうる,ワルビアル,オーキド博士のポケモンライブキャスター,BW102,
ジャローダが ツンとすまして よゆうあり,ジャローダ,オーキド博士のポケモンライブキャスター,BW103,
ダイケンキ けんをもったら むてきなり,ダイケンキ,オーキド博士のポケモンライブキャスター,BW104,
つよくなれ ケンカじょうとう ワシボンよ,ワシボン,オーキド博士のポケモンライブキャスター,BW105,
ハトーボー へいわをさそう なきごえよ,ハトーボー,オーキド博士のポケモンライブキャスター,BW106,
ウォーグル グルッと回って ちゅうがえり,ウォーグル,オーキド博士のポケモンライブキャスター,BW107,
エンブオー ぶおっとひをふく あついやつ,エンブオー,オーキド博士のポケモンライブキャスター,BW108,
クルマユが はっぱにくるまる ふゆのよる,クルマユ,オーキド博士のポケモンライブキャスター,BW109,
ムシャーナが むしゃむしゃたべる わるいゆめ,ムシャーナ,オーキド博士のポケモンライブキャスター,BW110,
まぶしいな はねがもえるよ ウルガモス,ウルガモス,オーキド博士のポケモンライブキャスター,BW111,
ガントルが ガンガンのむよ うまいみず,ガントル,オーキド博士のポケモンライブキャスター,BW112,
なげとばし ナゲキがたおす でかいやつ,ナゲキ,オーキド博士のポケモンライブキャスター,BW113,
ヒヒダルマ はをむきわらうよ ヒヒヒヒヒ,ヒヒダルマ,オーキド博士のポケモンライブキャスター,BW114,
チャオブーが チャオ！とあいさつ げんきよく,チャオブー,オーキド博士のポケモンライブキャスター,BW115,
ココロモリ こころがおどる ちょうおんぱ,ココロモリ,オーキド博士のポケモンライブキャスター,BW116,
ほりすすめ ドリュウズまわる ドリルなすがた,ドリュウズ,オーキド博士のポケモンライブキャスター,BW117,
フリージオ すずしいかおで バトルする,フリージオ,オーキド博士のポケモンライブキャスター,BW118,
さきほこれ ドレディアにっこり はなざかり,ドレディア,オーキド博士のポケモンライブキャスター,BW119,
メブキジカ きせつかわれば つのかわる,メブキジカ,オーキド博士のポケモンライブキャスター,BW120,
まさゆめか ムンナのげっぷで ゆめうらない,ムンナ,オーキド博士のポケモンライブキャスター,BW121,
バオッキー たべたらもやせ あまいもの,バオッキー,オーキド博士のポケモンライブキャスター,BW122,
カブルモが カラをかぶって しんかする,カブルモ,オーキド博士のポケモンライブキャスター,BW123,
シュバルゴが ヤリでしゅばっと いちげきだ,シュバルゴ,オーキド博士のポケモンライブキャスター,BW124,True
いにしえのうたで かわるよ メロエッタ,メロエッタ,オーキド博士のポケモンライブキャスター,BW125,
いつのまに ひっそりうしろに レパルダス,レパルダス,オーキド博士のポケモンライブキャスター,BW126,True
オノノクス するどいおので おののかす,オノノクス,オーキド博士のポケモンライブキャスター,BW127,
かくれんぼ ロトムかくれる かでんかな,ロトム,オーキド博士のポケモンライブキャスター,BW128,
おひさまを あびてあらぶる ギガイアス,ギガイアス,オーキド博士のポケモンライブキャスター,BW128,
めいれいを まもっていくとせ ゴルーグよ,ゴルーグ,オーキド博士のポケモンライブキャスター,BW129,
ジヘッドや けんかはやめて ふたつのあたま,ジヘッド,オーキド博士のポケモンライブキャスター,BW130,
ブルンゲル ぶるんぶるんと うみをゆく,ブルンゲル,オーキド博士のポケモンライブキャスター,BW131,
きばをむき えものをさがす サザンドラ,サザンドラ,オーキド博士のポケモンライブキャスター,BW132,
バイバニラ アイスたべよう はいバニラ,バイバニラ,オーキド博士のポケモンライブキャスター,BW133,
チラチーノ わたしがいちばん うつくしーの,チラチーノ,オーキド博士のポケモンライブキャスター,BW134,
フタチマル ホタチがふえて にとうりゅう,フタチマル,オーキド博士のポケモンライブキャスター,BW135,
ナットレイ しょくしゅですすむぞ まっとれい,ナットレイ,オーキド博士のポケモンライブキャスター,BW136,
ゾロアーク ゆめかうつつか げんえいか,ゾロアーク,オーキド博士のポケモンライブキャスター,BW137,
かぜになれ どこでもいたずら エルフーン,エルフーン,オーキド博士のポケモンライブキャスター,BW138,
とぎすませ きばがいのちの オノンドよ,オノンド,オーキド博士のポケモンライブキャスター,BW139,
ママンボウ うみのレスキュー まかせてね,ママンボウ,オーキド博士のポケモンライブキャスター,BW140,
しっぽから みずをはっしゃだ ヒヤップよ,ヒヤップ,オーキド博士のポケモンライブキャスター,BW141,
チュリネすむ つちではぐくめ さくもつを,チュリネすむ,オーキド博士のポケモンライブキャスター,BW142,
やけのはら あばれてまんぞく ギャラドスよ,ギャラドス,オーキド博士のポケモンライブキャスター,BWS01,
ひとっとび せかいいっしゅう カイリューよ,カイリュー,オーキド博士のポケモンライブキャスター,BWS02,
ゲットだぜ！ ピカチュウいっしょに ピッピカチュウ,ピカチュウ,オーキド博士のポケモンホロキャスター,XY001,
ケロマツや バトルもケロリと しょうりする,ケロマツ,オーキド博士のポケモンホロキャスター,XY002,
しのびよる ぬきあしさしあし ニャースかな,ニャース,オーキド博士のポケモンホロキャスター,XY003,
あなをほる ちかにおうちを ホルビーよ,ホルビー,オーキド博士のポケモンホロキャスター,XY004,
デデンネと ほっぺすりすり でんきでびりり,デデンネ,オーキド博士のポケモンホロキャスター,XY005,
ガブガブと えさをガブリと ガブリアス,ガブリアス,オーキド博士のポケモンホロキャスター,XY006,
たいようで でんきできてる エリキテル,エリキテル,オーキド博士のポケモンホロキャスター,XY007,
サイホーン まっすぐいくよ どこまでも,サイホーン,オーキド博士のポケモンホロキャスター,XY008,
あめあがり ゆうがにすべるよ アメタマよ,アメタマ,オーキド博士のポケモンホロキャスター,XY009,
ヤヤコマの むねでもえてる とうこんが,ヤヤコマ,オーキド博士のポケモンホロキャスター,XY010,
まるくなる どんどんふくらむ プクリンよ,プクリン,オーキド博士のポケモンホロキャスター,XY011,
デザートは いつもこえだの フォッコかな,フォッコ,オーキド博士のポケモンホロキャスター,XY012,
かみなりが おちたらそこに ライボルト,ライボルト,オーキド博士のポケモンホロキャスター,XY013,
トリミアン きょうのかみがた トレビアン,トリミアン,オーキド博士のポケモンホロキャスター,XY014,
ソーナンス なぞがなぞよぶ しっぽかな,ソーナンス,オーキド博士のポケモンホロキャスター,XY015,
ハリマロン りきんでとがって ちくりといくよ,ハリマロン,オーキド博士のポケモンホロキャスター,XY016,
みちしるべ たよりになるよ デンリュウは,デンリュウ,オーキド博士のポケモンホロキャスター,XY017,
マーイーカ イカスミかけられ まぁいいか,マーイーカ,オーキド博士のポケモンホロキャスター,XY018,
ちゃっちゃっちゃ ちゃちゃちゃバケッチャ ちゃっちゃっちゃ,バケッチャ,オーキド博士のポケモンホロキャスター,XY019,
ちくちくと スピアーつんつん はりでつく,スピアー,オーキド博士のポケモンホロキャスター,XY020,
よろこべば でんきこぼれる ピチューかな,ピチュー,オーキド博士のポケモンホロキャスター,XY021,
ニンフィアが リボンデつたえる このおもい,ニンフィア,オーキド博士のポケモンホロキャスター,XY022,
たべてねて ねるこはそだつ カビゴンや,カビゴン,オーキド博士のポケモンホロキャスター,XY023,
オスメスの くべつがないよ コイルだよ,コイル,オーキド博士のポケモンホロキャスター,XY025,
おらおらと やんちゃぼうずの ヤンチャムや,ヤンチャム,オーキド博士のポケモンホロキャスター,XY026,
コフキムシ あつささむさも こなしだい,コフキムシ,オーキド博士のポケモンホロキャスター,XY027,
コフーライ しんかのひまで がまんのこ,コフーライ,オーキド博士のポケモンホロキャスター,XY028,
ビビヨンが びよんびよんと とんでいく,ビビヨン,オーキド博士のポケモンホロキャスター,XY029,True
イワくって じめんほるほる イワークよ,イワーク,オーキド博士のポケモンホロキャスター,XY030,
ヨノワール れいかいよいとこ いちどはおいで,ヨノワール,オーキド博士のポケモンホロキャスター,XY031,
コイキング てんまではねろ しんかまで,コイキング,オーキド博士のポケモンホロキャスター,XY032,
ルカリオが はどうでバトル はーどうじゃ,ルカリオ,オーキド博士のポケモンホロキャスター,XY033,
メガシンカ きずなのつよさ みせてやれ,,オーキド博士のポケモンホロキャスター,XY034,
カラマネロ わるいなかまに からまれろ,カラマネロ,オーキド博士のポケモンホロキャスター,XY035,
サーナイト いのちわかけて まもりぬけ,サーナイト,オーキド博士のポケモンホロキャスター,XY036,
くだけちれ おんぱでバーン！ オンバーン,オンバーン,オーキド博士のポケモンホロキャスター,XY037,
あぶないよ アブソルかんじる わざわいを,アブソル,オーキド博士のポケモンホロキャスター,XY038,
アームガン ひゃっぱつひゃくちゅう ウデッポウ,ウデッポウ,オーキド博士のポケモンホロキャスター,XY039,
ニャスパーが スパッとはっしゃ サイコパワー,ニャスパー,オーキド博士のポケモンホロキャスター,XY040,
よんでいる オーロラひかる アマルスよ,アマルス,オーキド博士のポケモンホロキャスター,XY041,
かくれんぼ うみのもくずに クズモーよ,クズモー,オーキド博士のポケモンホロキャスター,XY052,
つめたさや わがみこおるよ アマルルガ,アマルルガ,オーキド博士のポケモンホロキャスター,XY055,
チゴラスや なんでもかじる つよいあご,チゴラス,オーキド博士のポケモンホロキャスター,XY056,
ペロリーム ぺろりなめたら あらあまい,ペロリーム,オーキド博士のポケモンホロキャスター,XY057,
かぜさそう きままにとぶよ フラベベよ,フラベベ,オーキド博士のポケモンホロキャスター,XY058,
ひとっとび ビルをこえるぞ バシャーモだ,バシャーモ,オーキド博士のポケモンホロキャスター,XY059,
ふりかえり おおぐちひらく クチートよ,クチート,オーキド博士のポケモンホロキャスター,XY060,
まうごとく たたかえルチャブル さいきょうだ,ルチャブル,オーキド博士のポケモンホロキャスター,XY061,True
エアームド きれあじするどく つばさがうなる,エアームド,オーキド博士のポケモンホロキャスター,XY062,
だれかしら であいがしらに ゲコガシラ,ゲコガシラ,オーキド博士のポケモンホロキャスター,XY063,
ウソハチの なみだにほろり もらいなき,ウソハチ,オーキド博士のポケモンホロキャスター,XY064,
しんじんと いっしょにゼニガメ つよくなれ,ゼニガメ,オーキド博士のポケモンホロキャスター,XY065,
ヒトカゲの ひわくちほどに ものをいい,ヒトカゲ,オーキド博士のポケモンホロキャスター,XY066,
ひをあびて のんびりおひるね フシギダネ,フシギダネ,オーキド博士のポケモンホロキャスター,XY067,
うごくもり かならずどこかに オーロット,オーロット,オーキド博士のポケモンホロキャスター,XY068,
コジョフーが きあいのかけごえ コージョーフー,コジョフー,オーキド博士のポケモンホロキャスター,XY069,
うでじまん なんでもはこぶよ ゴーリキー,ゴーリキー,オーキド博士のポケモンホロキャスター,XY070,
オスメスで いろがちがうよ ニャオニクス,ニャオニクス,オーキド博士のポケモンホロキャスター,XY071,
ボーマンダ ひをはくおとは ボーなんだ,ボーマンダ,オーキド博士のポケモンホロキャスター,XY072,
ルクシオが でんきでかたるよ ゆうじょうを,ルクシオ,オーキド博士のポケモンホロキャスター,XY073,
らんらんらん うみのおさんぽ ラプラスと,ラプラス,オーキド博士のポケモンホロキャスター,XY074,
むちゅーっと なんでもくちづけ ムチュールよ,ムチュール,オーキド博士のポケモンホロキャスター,XY075,
いざバトル カモン、カモネギ くきがぶき,カモネギ,オーキド博士のポケモンホロキャスター,XY076,
さあバトル リングマリングで ゴングまつ,リングマ,オーキド博士のポケモンホロキャスター,XY077,
ゲットだぜ！ ピカチュウいっしょに ピッピカチュウ,ピカチュウ,オーキド博士のポケモンホロキャスター,XY078,
マフォクシー まほうのほのおで みらいよむ,マフォクシー,オーキド博士のポケモンホロキャスター,XY079,
ゲットだぜ そのガメノデス おれのです,ガメノデス,オーキド博士のポケモンホロキャスター,XY080,
きたえてる コンクリぐるぐる ローブシン,ローブシン,オーキド博士のポケモンホロキャスター,XY081,
メェークルが ひとをのせるよ どこまでも,メェークル,オーキド博士のポケモンホロキャスター,XY082,
あめのなか ちをはうヌメラ ぬめぬめと,ヌメラ,オーキド博士のポケモンホロキャスター,XY083,
カイリキー かいりきじまん うでじまん,カイリキー,オーキド博士のポケモンホロキャスター,XY084,
なりすませ バニラのアイス バニプッチ,バニプッチ,オーキド博士のポケモンホロキャスター,XY085,
ゴーゴート のやまをゆくよ GOGOと,ゴーゴート,オーキド博士のポケモンホロキャスター,XY086,
しずけさや ヌメイルぬめぬめ にじりより,ヌメイル,オーキド博士のポケモンホロキャスター,XY087,
かがやくめ しんじつみぬく レントラー,レントラー,オーキド博士のポケモンホロキャスター,XY088,
テールナー こえだにほのおが ついてるなー,テールナー,オーキド博士のポケモンホロキャスター,XY089,
ライチュウの やるきはでんき しげきてき,ライチュウ,オーキド博士のポケモンホロキャスター,XY090,
わたぼうし とばせワタッコ せかいじゅう,ワタッコ,オーキド博士のポケモンホロキャスター,XY091,
くろしんじゅ おでこでひかる ブーピッグ,ブーピッグ,オーキド博士のポケモンホロキャスター,XY092,
あけてくれ かぎをおくれよ クレッフィ,クレッフィ,オーキド博士のポケモンホロキャスター,XY093,
ガルーラが メガシンカする おやこあい！,メガガルーラ,オーキド博士のポケモンホロキャスター,XY140,
ひまつぶし カメテテきょうも にらめっこ,カメテテ,オーキド博士のポケモンホロキャスター,XYS05,
そのカラダ メレシーまぶしー うつくしー,メレシー,オーキド博士のポケモンホロキャスター,XYS06,
いしふたつ こころひとつで メガシンカ,,オーキドはかせ,LPLE,
